,experiment,attn,shot_meta,shot,eval_bs,video,miou,step,rel_diff
0,s-meta2-shot1-n8,s,2,1,8,blackswan,0.6463295221328735,500,0.0
1,s-meta2-shot1-n8,s,2,1,8,bmx-trees,0.2912133932113647,900,0.0
2,s-meta2-shot1-n8,s,2,1,8,breakdance,0.3910085558891296,400,0.0
3,s-meta2-shot1-n8,s,2,1,8,camel,0.5564285516738892,500,0.0
4,s-meta2-shot1-n8,s,2,1,8,car-roundabout,0.7167618274688721,500,0.0
5,s-meta2-shot1-n8,s,2,1,8,car-shadow,0.6828648447990417,700,0.0
6,s-meta2-shot1-n8,s,2,1,8,cows,0.7300519347190857,700,0.0
7,s-meta2-shot1-n8,s,2,1,8,dance-twirl,0.3586847186088562,200,0.0
8,s-meta2-shot1-n8,s,2,1,8,dog,0.635507345199585,200,0.0
9,s-meta2-shot1-n8,s,2,1,8,drift-chicane,0.0202823877334594,0,0.0
10,s-meta2-shot1-n8,s,2,1,8,drift-straight,0.1958942413330078,0,0.0
11,s-meta2-shot1-n8,s,2,1,8,goat,0.582875669002533,500,0.0
12,s-meta2-shot1-n8,s,2,1,8,horsejump-high,0.4601620435714721,700,0.0
13,s-meta2-shot1-n8,s,2,1,8,kite-surf,0.3965864181518554,600,0.0
14,s-meta2-shot1-n8,s,2,1,8,libby,0.4155977964401245,100,0.0
15,s-meta2-shot1-n8,s,2,1,8,motocross-jump,0.2923240661621094,0,0.0
16,s-meta2-shot1-n8,s,2,1,8,paragliding-launch,0.4645284414291382,1000,0.0
17,s-meta2-shot1-n8,s,2,1,8,parkour,0.059044599533081,1000,0.0
18,s-meta2-shot1-n8,s,2,1,8,scooter-black,0.0616313219070434,100,0.0
19,s-meta2-shot1-n8,s,2,1,8,soapbox,0.1248774528503418,0,0.0
20,s-meta2-shot2-n8,s,2,2,8,blackswan,0.7305195331573486,500,0.0
21,s-meta2-shot2-n8,s,2,2,8,bmx-trees,0.2403539419174194,500,0.0
22,s-meta2-shot2-n8,s,2,2,8,breakdance,0.461769163608551,100,0.0
23,s-meta2-shot2-n8,s,2,2,8,camel,0.5975610017776489,300,0.0
